,Operator Name,Location Name,COMAH tier,Local Authority,Country,postcode,latitude,longitude,x,y
115,Frontier Agriculture Limited,South Fen Business Park,upper,Lincolnshire County Council,England,PE100DN,52.756204,-0.319091,375.51764757103905,210.62292858279807
116,GEO Specialty Chemicals UK Limited,GEO Specialty / Hythe,upper,New Forest,England,SO453ZG,50.85286,-1.381791,300.00025817780545,45.409561718123314
117,Givaudan UK Limited,Ashford,upper,Ashford,England,TN240LT,51.152978,0.899829,459.74822442383663,70.6684040443638
118,Glen Turner Distillery Limited,Starlaw Park,upper,West Lothian UA,Scotland,EH548SF,55.891301,-3.575468,174.19035404802148,500.6640718757981
119,Gower Chemicals Limited,"Sherburn in Elmet, Leeds",upper,Selby,England,LS256ES,53.788786,-1.230454,316.1688905899283,303.4549977512106
120,Great Bear Distribution Limited,Rotherham Warehouse,upper,Rotherham,England,S668HN,53.429282,-1.240151,314.8355853115047,271.29693447743375
121,Great Bear Distribution Limited,Markham Vale,upper,Chesterfield,England,S445HY,53.2416618382447,-1.32794498390551,308.632733789694,254.69709005283994
122,Greenergy Terminals Limited,Mayflower and Cattedown Terminal ,upper,Plymouth UA,England,PL40RJ,50.3648228164028,-4.12248588658415,104.83168553768701,12.81574035962467
123,Greenergy Terminals Limited,Cardiff Oil Terminal,upper,Cardiff UA,Wales,CF104RP,51.462039,-3.149728,178.89378145768399,102.99491611381654
124,H J Enthoven Limited,Darley Dale Smelter,upper,Derbyshire Dales,England,DE42LP,53.156392,-1.610275,289.63832077059396,247.58965942132454
125,H W Coates Limited,"Byley, Middlewich",upper,Cheshire West and Chester UA,England,CW109NT,53.213001,-2.419493,235.9293387578105,254.52148273255943
126,H W Coates Limited,Grangemouth North Site,upper,Falkirk UA,Scotland,FK38UU,56.016804,-3.730031,165.3245331711476,512.8167864794045
127,H W Coates Limited,Grangemouth South Site,upper,Falkirk UA,Scotland,FK38UU,56.016804,-3.730031,165.3245331711476,512.8167864794045
128,H W Coates Limited,Newmarket,upper,East Cambridgeshire,England,CB87LG,52.284522,0.394304,423.81241595017605,169.0338894513443
129,Haltermann Carless UK Limited,Harwich,upper,Tendring,England,CO124SS,51.943369,1.242325,482.13959744189583,139.92563419533917
130,Hanson Logistics Limited,Huddersfield,upper,Kirklees,England,HD21FQ,53.66716,-1.74774108404588,281.8673921311419,293.43967414911276
131,Hexion UK Limited,"Cowie, Stirling",upper,Stirling UA,Scotland,FK77BQ,56.0781315785034,-3.87003900237908,157.0236229924642,519.0372229375662
132,Hexion UK Limited,Penarth,upper,Vale of Glamorgan UA,Wales,CF645YU,51.4080529440887,-3.22737139982387,173.25887078573425,98.60781235278773
133,Heyford Park Management Company Limited,Southern Bomb Store/Site,upper,Cherwell,England,OX255HD,51.928819,-1.251214,311.2056275636715,138.66539537586095
134,Heys Group Limited (The),Essendine,upper,Rutland UA,England,PE94LE,52.70071975150049,-0.452275514019196,366.5163084178595,205.77383028016948
135,Holchem Laboratories Limited,Pilsworth/Bury,upper,Bury,England,BL98RD,53.57449889,-2.280127129,246.48544115967096,286.3834162725616
136,Holford Gas Storage Limited,Holford Brine Field,upper,Cheshire West and Chester UA,England,CW97TD,53.262369778636,-2.43609187245955,235.01197168943054,258.9621514358805
137,Horse Hill Developments Limited,Horse Hill Well Site,upper,Reigate & Banstead,England,RH60RB,51.181272018940895,-0.208545632393458,382.4547704247528,72.65283260918841
138,Humber LPG Terminal Limited,Humber LPG Terminal,upper,North Lincolnshire,England,DN403EA,53.6392127712454,-0.226748368863465,382.04299805255874,289.2102686084304
139,Humbly Grove Energy Limited,Humbly Grove Oilfield,upper,Basingstoke,England,GU345SY,51.193809112101505,-1.00982672307251,326.6254406127613,74.33273905973056
140,Huntsman Advanced Materials (UK) Limited,Cambridge,upper,South Cambridgeshire,England,CB224QB,52.087934,0.160071,407.927752652652,151.68764162776415
141,ICoNiChem Widnes Limited,Widnes,upper,Halton UA,England,WA80RU,53.363387108572894,-2.70918846318419,217.2920094664158,268.77493769658577
