Operator Name,Location Name,Address Name,Address Street,Address Town,Address County,Address Postcode 1,Address Postcode 2,Incumbent Duty Type Text,Previous Name,LA Code,Local Authority,Country
SSE Hornsea Limited,Hornsea Storage Installation Skipsea Road,,Skipsea Road,Atwick,East Riding of Yorkshire,YO25,8ER,COMAH Upper Tier Operator,,2001,East Riding,England
Star Energy Weald Basin Limited,Holybourne Terminal,Off A31,Holybourne,Alton,Hampshire,GU34,4JD,COMAH Upper Tier Operator,,1710,East Hampshire,England
Stepan UK Limited,Stalybridge,,Bridge Street ,Stalybridge,Cheshire,SK15,1PH,COMAH Upper Tier Operator,,4240,Tameside,England
Sterling Pharma Solutions Limited,Dudley,Sterling Place,Dudley,Cramlington,Tyne & Wear ,NE23,7QG,COMAH Upper Tier Operator, (was Shasun Pharma Solutions Limited),4515,North Tyneside,England
Stolthaven Dagenham Limited,"Choats Road, Dagenham",,Choats Road,Dagenham,Essex,RM9,6PU,COMAH Upper Tier Operator, (was TDG (UK) Limited),5060,Barking & Dagenham,England
Storengy UK Limited,Stublach Gas Storage Site,King Street,,Northwich,Cheshire,CW9,7SE,COMAH Upper Tier Operator,,0670,Cheshire East UA,England
Surfachem Limited,Elland,The Ainleys,Huddersfield Road ,Elland,West Yorkshire,HX5,9JR,COMAH Upper Tier Operator,,4710,Calderdale,England
Suttons & Sons (St. Helens) Limited,St Helens,Suttons Distribution,Sutton Heath,St Helens,Merseyside,WA9,5BW,COMAH Upper Tier Operator,,4315,St Helens,England
Syngenta Limited,Grangemouth Works,,Earls Road,Grangemouth,Falkirk ,FK3,8XG,COMAH Upper Tier Operator,,9065,Falkirk UA,Scotland
Syngenta Limited,Huddersfield,PO Box A38,Leeds Road,Huddersfield,West Yorkshire,HD2,1FF,COMAH Upper Tier Operator,,4715,Kirklees,England
Synthite Limited,Mold,Alyn Works,Denbigh Road,Mold,Flintshire,CH7 ,1BT,COMAH Upper Tier Operator,,6835,Flintshire UA,Wales
Tata Steel UK Limited,Port Talbot Steelworks,,Port Talbot Works ,Port Talbot,Neath & Port Talbot ,SA13,1RE,COMAH Upper Tier Operator, (was Corus UK Ltd),6930,Neath & Port Talbot UA,Wales
Tennants Fine Chemicals Limited,Staffordshire,,Macclesfield Road             ,Leek,Staffordshire       ,ST13,8LD,COMAH Upper Tier Operator, (was Tessenderlo Fine Chemicals Limited),3435,Staffordshire Moorlands,England
Thor Specialities (UK) Limited,Wincham,,Wincham Avenue,Northwich,Cheshire,CW9,6GB,COMAH Upper Tier Operator,,0660,Cheshire West and Chester UA,England
Tor Coatings Limited,Gateshead,"Unit 21, White Rose Way",Follingsby Park,Gateshead,Tyne & Wear,NE10,8YX,COMAH Upper Tier Operator,,4505,Gateshead,England
Total E&P UK Limited,Laggan Toremore Project,Sullom Voe,Graven,Mossbank,Shetland,ZE2,9UN,COMAH Upper Tier Operator,,9010,Shetland,Scotland
Total Lindsey Oil Refinery Limited,Lindsey Oil Refinery,HQ/Total Lindsey,Eastfield Road,Immingham ,Lincolnshire ,DN40,3LW,COMAH Upper Tier Operator, (was Total UK Limited),2003,North Lincolnshire,England
Tradebe Fawley Limited,Hythe/Tradebe Fawley Limited,Charleston Road,Hardley,Hythe,Hampshire,SO45,3NX,COMAH Upper Tier Operator, (was Willacy Guinard Holdings Ltd),1740,New Forest,England
Tradebe Solvent Recycling Limited,Hendon Dock Processing Site,Hendon Dock Processing Site,Hendon Dock ,Sunderland,Tyne & Wear ,SR1,2ES,COMAH Upper Tier Operator, (was Solvent Resource Management Limited),4525,Sunderland,England
Tradebe Solvent Recycling Limited,Morecambe,,Middleton Road,Morecambe,Lancashire,LA3 ,3JW,COMAH Upper Tier Operator, (was Solvent Resource Management Limited),2335,Lancaster,England
Tradebe Solvent Recycling Limited,Rye Harbour Road,Lime Kiln Works,Rye Harbour Road,Rye,East Sussex ,TN31,7TE,COMAH Upper Tier Operator, (was Solvent Resource Management Limited),1430,Rother,England
